month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202107,12103,"pinellas, fl",369900,0.0134,0.1833,1655,0.0989,-0.4995,35,0.060606061,-0.46969697,1504,-0.0284,0.0444,76,-0.1364,-0.0952,676,0.1901,-0.4459,2899,-0.0648,-0.1194,254.2664211,0.019,0.2245,1405,0.0029,-0.0018,645512.0106,0.0387,0.2214,4554,-0.0113,-0.3099,1.751661631,-0.3068,0.7562
202107,12113,"santa rosa, fl",435400,0.0146,0.315,463,0.1024,-0.3524,21,0.2,-0.571428571,428,0.0388,0.4267,48,-0.2941,-0.76,180,0.2857,0.3636,2,-0.3333,1,194.2134831,0.0321,0.2851,2125,0.0002,0.0301,640850.0185,0.0214,0.3469,465,0.0993,-0.3506,0.004319654,-0.0028,0.0029
202107,12081,"manatee, fl",424900,0.0321,0.2544,586,0.0892,-0.7043,36,0.043478261,-0.523178808,588,-0.0068,-0.2576,36,-0.7273,-0.7857,180,0.4063,-0.6831,1447,-0.0736,-0.083,231.0752688,0.0474,0.2846,1786,0.0003,-0.059,710810.0087,0.0306,0.3143,2033,-0.0319,-0.4289,2.469283276,-0.4341,1.6731
202107,12011,"broward, fl",360000,0.0361,0.1303,6102,0.0033,-0.4803,54,-0.035714286,-0.46,3200,-0.0632,-0.1011,308,-0.2596,0.2833,1152,0.1339,-0.4956,7348,-0.0899,0.0785,249.1961415,0.024,0.1533,1276,0.0299,0.0127,724413.2371,0.0008,0.1786,13450,-0.0499,-0.2751,1.204195346,-0.1233,0.624
202107,12097,"osceola, fl",350000,0.0448,0.1708,754,0.0315,-0.6153,41,0.064935065,-0.467532468,636,0.0258,-0.1017,96,-0.1111,-0.2258,160,0.6,-0.6721,1445,-0.0386,0.1014,186.7881549,0.0144,0.2362,1862,0.0276,-0.0355,476364.9345,0,0.2362,2199,-0.0157,-0.3279,1.916445623,-0.1396,1.2471
202107,12073,"leon, fl",255000,-0.0211,0.0079,1115,0.0054,-0.095,36,0.058823529,-0.13253012,524,-0.0224,0.1593,20,0,0,160,0.3793,0,140,0.0769,-0.0278,159.8484848,-0.0066,0.092,1592,-0.0056,-0.0501,301997.892,-0.0045,0.0056,1255,0.0129,-0.0879,0.125560538,0.0083,0.0087
202107,12019,"clay, fl",345500,0.0631,0.2797,297,0.08,-0.4817,38,0.085714286,-0.512820513,272,-0.1282,0.1333,8,-0.8333,-0.9429,100,0.6667,-0.4792,805,0.0203,-0.0111,167.7048395,0.0132,0.2341,1986,0.0245,-0.0129,427568.1133,0.04,0.2947,1102,0.0357,-0.2055,2.71043771,-0.1587,1.2898
202107,12087,"monroe, fl",1100000,0.0214,0.3333,573,0.0106,-0.6118,59,0.072727273,-0.585964912,184,-0.1481,-0.2333,16,0.3333,1,96,0.0909,-0.6066,444,-0.1763,-0.1066,711.1005693,0.0484,0.3092,1592,-0.0313,0.055,2384536.331,0.0122,0.4537,1017,-0.0805,-0.4845,0.77486911,-0.1757,0.4381
202107,12089,"nassau, fl",454000,-0.0677,0.1539,341,0.1759,-0.58,43,0.116883117,-0.398601399,208,0.0833,0,60,0,-0.4231,96,0.7143,-0.5472,671,-0.0858,0.0339,240.9383033,0.0169,0.3252,2163,0.0377,0.0232,785830.9406,-0.0364,0.4748,1012,-0.0117,-0.3073,1.967741935,-0.5633,1.1685
202107,12061,"indian river, fl",359000,-0.0793,0.0819,466,0.0472,-0.7246,46,-0.051546392,-0.50802139,324,-0.0357,-0.2768,16,-0.2,-0.7333,68,-0.32,-0.7901,947,-0.1074,0.0923,210.6481481,-0.0374,0.2193,1757,-0.0231,-0.0753,862249.6618,-0.0142,0.3794,1413,-0.0618,-0.4478,2.032188841,-0.3521,1.5198
