Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2020,Jan,59.6,57.6,10458937,10116910,342027,3.3
2020,Feb,59.5,57.5,10461404,10111574,349830,3.3
2020,Mar,60.4,57.5,10629624,10106833,522791,4.9
2020,Apr,55.5,47.7,9765316,8400513,1364803,14
2020,May,56.5,48.4,9949585,8533164,1416421,14.2
2020,Jun,56.1,49.6,9898486,8749388,1149098,11.6
2020,Jul,57.3,50.7,10108143,8940935,1167208,11.5
2020,Aug,56.5,52.1,9991016,9206578,784438,7.9
2020,Sep,56.8,52.8,10052895,9333690,719205,7.2
2020,Oct,56.5,53.2,10010524,9427112,583412,5.8
2020,Nov,56.6,53.5,10025050,9485302,539748,5.4
2020,Dec,56.6,53.7,10043992,9528878,515114,5.1
2021,Jan,56.7,54,10068685,9587059,481626,4.8
2021,Feb,57,54.3,10124393,9650056,474337,4.7
2021,Mar,57.2,54.5,10170003,9695580,474423,4.7
2021,Apr,57.5,54.8,10241583,9753831,487752,4.8
2021,May,57.9,55.1,10315309,9811921,503388,4.9
2021,Jun,58.3,55.4,10395981,9872463,523518,5
2021,Jul,58.7(P),55.7(P),10478505(P),9948644(P),529861(P),5.1(P)
,,,,,,,
P : Preliminary.,,,,,,,
