Feature,FeatureWeight
value_inches,0.10282122082785984
unemployment_rate,0.11443743092370079
index_per_100k,0.1174902057361599
unemployment,0.11987558157899696
average_yearly_wage,0.13379404502865452
employment,0.13552815552385922
labor_force,0.13696796428167735
totalpopulation,0.13908539609909132
