county,year,totalpopulation,average_yearly_wage,singlefamilymedianhomevalue,value_inches,murder,rape,robbery,aggravated_assault,burglary,larceny,motor_vehicle_theft,index_per_100k,employment,unemployment,labor_force,unemployment_rate,county_code,SFMHVrange,SFMHVclass
Levy,2012,40339,28491,90417.0,60.15,0.0,18.0,5.0,88.0,323.0,590.0,45.0,2650.0,15035.0,1595,16630,0.096,36,"(50000, 100000]",1
Levy,2013,40304,28875,98095.0,55.23,0.0,0.0,6.0,12.0,146.0,224.0,5.0,975.0,14911.0,1388,16299,0.085,36,"(50000, 100000]",1
Levy,2014,40473,29272,106642.0,60.13,0.0,1.0,1.0,13.0,135.0,246.0,10.0,1003.0,15129.0,1147,16276,0.07,36,"(100000, 150000]",2
Levy,2015,40448,30101,115071.0,54.54,3.0,13.0,4.0,361.0,281.0,454.0,38.0,2853.0,15547.0,963,16510,0.058,36,"(100000, 150000]",2
Levy,2016,40553,30912,122366.0,50.34,1.0,8.0,7.0,404.0,263.0,461.0,31.0,2897.0,15831.0,871,16702,0.052,36,"(100000, 150000]",2
Levy,2017,41015,31512,127813.0,56.3,2.0,21.0,7.0,438.0,358.0,446.0,55.0,3235.0,16005.0,757,16762,0.045,36,"(100000, 150000]",2
Levy,2018,41054,32670,132701.0,71.86,1.0,24.0,8.0,463.0,380.0,424.0,86.0,3376.0,16136.0,666,16802,0.04,36,"(100000, 150000]",2
Liberty,2010,8365,33999,64273.0,49.27,0.0,0.0,0.0,10.0,0.0,0.0,0.0,122.0,2663.0,247,2910,0.085,37,"(50000, 100000]",1
Liberty,2011,8370,31181,61193.0,38.6,0.0,1.0,0.0,6.0,17.0,21.0,0.0,538.0,2586.0,260,2846,0.091,37,"(50000, 100000]",1
Liberty,2012,8519,30322,62054.0,51.81,1.0,4.0,0.0,8.0,22.0,31.0,0.0,775.0,2505.0,224,2729,0.082,37,"(50000, 100000]",1
Liberty,2013,8483,32127,67702.0,65.67,0.0,0.0,3.0,9.0,19.0,33.0,1.0,766.0,2638.0,200,2838,0.07,37,"(50000, 100000]",1
Liberty,2014,8668,33566,73227.0,65.12,0.0,1.0,0.0,6.0,9.0,38.0,0.0,623.0,2560.0,188,2748,0.068,37,"(50000, 100000]",1
Liberty,2015,8698,34427,79628.0,53.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491.0,157,2648,0.059,37,"(50000, 100000]",1
Liberty,2016,8736,34507,89930.0,56.46,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,2509.0,137,2646,0.052,37,"(50000, 100000]",1
Liberty,2017,8719,36395,98092.0,56.35,0.0,0.0,0.0,12.0,19.0,41.0,9.0,929.0,2497.0,121,2618,0.046,37,"(50000, 100000]",1
Liberty,2018,8915,39206,105908.0,69.73,0.0,3.0,0.0,6.0,13.0,28.0,6.0,628.0,2508.0,104,2612,0.04,37,"(100000, 150000]",2
Madison,2001,18862,20837,52812.0,41.95,1.0,2.0,19.0,101.0,156.0,882.0,21.0,6267.0,7031.0,381,7412,0.051,38,"(50000, 100000]",1
Madison,2002,18932,21403,54958.0,47.77,0.0,7.0,19.0,79.0,211.0,820.0,12.0,6064.0,6835.0,385,7220,0.053,38,"(50000, 100000]",1
Madison,2003,19139,22370,59835.0,64.05,1.0,16.0,19.0,87.0,226.0,453.0,30.0,4347.0,6845.0,367,7212,0.051,38,"(50000, 100000]",1
Madison,2004,19498,24014,70676.0,61.39,0.0,13.0,12.0,130.0,180.0,410.0,23.0,3939.0,6801.0,391,7192,0.054,38,"(50000, 100000]",1
Madison,2005,19696,24611,85572.0,61.66,3.0,6.0,25.0,95.0,205.0,396.0,17.0,3793.0,7091.0,347,7438,0.047,38,"(50000, 100000]",1
Madison,2006,19814,26033,97601.0,37.71,3.0,11.0,11.0,109.0,198.0,369.0,33.0,3704.0,6960.0,379,7339,0.052,38,"(50000, 100000]",1
Madison,2007,19944,27233,93643.0,36.74,0.0,8.0,10.0,166.0,191.0,366.0,31.0,3871.0,6526.0,428,6954,0.062,38,"(50000, 100000]",1
Madison,2008,20152,28039,80215.0,53.54,2.0,6.0,20.0,154.0,221.0,320.0,26.0,3717.0,6530.0,504,7034,0.072,38,"(50000, 100000]",1
Madison,2009,20333,28715,68864.0,52.48,4.0,10.0,31.0,123.0,175.0,327.0,13.0,3359.0,6378.0,762,7140,0.107,38,"(50000, 100000]",1
Madison,2010,19224,29119,63529.0,49.57,1.0,8.0,13.0,140.0,197.0,305.0,22.0,3440.0,7114.0,764,7878,0.097,38,"(50000, 100000]",1
Madison,2011,19298,29237,59291.0,43.6,1.0,4.0,14.0,115.0,160.0,294.0,15.0,3125.0,7262.0,767,8029,0.096,38,"(50000, 100000]",1
Madison,2012,19227,29605,59870.0,58.29,1.0,7.0,13.0,133.0,153.0,317.0,16.0,3329.0,7245.0,702,7947,0.088,38,"(50000, 100000]",1
Madison,2013,19395,29842,65455.0,63.33,0.0,6.0,12.0,138.0,126.0,304.0,6.0,3052.0,7252.0,641,7893,0.081,38,"(50000, 100000]",1
Madison,2014,19303,31479,71584.0,67.65,1.0,9.0,15.0,124.0,132.0,266.0,8.0,2875.0,7161.0,566,7727,0.073,38,"(50000, 100000]",1
Madison,2015,19200,32062,80572.0,50.72,2.0,6.0,9.0,186.0,158.0,279.0,3.0,3349.0,7039.0,465,7504,0.062,38,"(50000, 100000]",1
Madison,2016,19238,31774,90315.0,53.48,2.0,9.0,5.0,157.0,168.0,247.0,8.0,3098.0,6960.0,390,7350,0.053,38,"(50000, 100000]",1
Madison,2017,19377,32067,99675.0,50.55,0.0,12.0,11.0,192.0,144.0,235.0,9.0,3112.0,7032.0,331,7363,0.045,38,"(50000, 100000]",1
Madison,2018,19473,32979,105549.0,72.26,0.0,13.0,3.0,122.0,76.0,113.0,3.0,1695.0,6996.0,290,7286,0.04,38,"(100000, 150000]",2
Manatee,2001,270771,26629,166657.0,54.91,11.0,166.0,450.0,1708.0,3518.0,8715.0,1188.0,5713.0,120586.0,5279,125865,0.042,39,"(150000, 200000]",3
Manatee,2002,277362,28561,184851.0,59.48,16.0,136.0,515.0,1639.0,3609.0,9868.0,1049.0,5960.0,125956.0,6879,132835,0.052,39,"(150000, 200000]",3
Manatee,2003,286884,29217,206153.0,69.03,15.0,120.0,562.0,1697.0,3653.0,9538.0,1150.0,5732.0,129549.0,6544,136093,0.048,39,"(200000, 250000]",4
Manatee,2004,295242,30503,235676.0,59.33,13.0,131.0,512.0,1802.0,3527.0,9965.0,1130.0,5688.0,136478.0,6099,142577,0.043,39,"(200000, 250000]",4
Manatee,2005,304364,31906,291964.0,55.27,14.0,118.0,537.0,2089.0,3201.0,10076.0,1150.0,5554.0,139595.0,5022,144617,0.035,39,"(250000, 300000]",5
Manatee,2006,308325,33744,351499.0,49.31,20.0,133.0,642.0,2290.0,3521.0,10481.0,1161.0,5823.0,144644.0,4564,149208,0.031,39,"(350000, 400000]",7
Manatee,2007,315890,34792,319115.0,39.41,22.0,143.0,692.0,2134.0,3329.0,10132.0,1095.0,5467.0,141381.0,6169,147550,0.042,39,"(300000, 350000]",6
Manatee,2008,317699,34923,257077.0,47.25,12.0,116.0,758.0,1977.0,3766.0,10151.0,849.0,5462.0,133932.0,10337,144269,0.072,39,"(250000, 300000]",5
Manatee,2009,318404,34885,209890.0,51.92,26.0,134.0,615.0,1741.0,3323.0,9374.0,674.0,4837.0,125901.0,16502,142403,0.116,39,"(200000, 250000]",4
Manatee,2010,322833,35939,195412.0,48.72,13.0,137.0,529.0,1397.0,3607.0,8768.0,489.0,4607.0,130121.0,16213,146334,0.111,39,"(150000, 200000]",3
Manatee,2011,325905,36948,178895.0,46.67,15.0,138.0,462.0,1382.0,3334.0,9056.0,475.0,4560.0,132628.0,14651,147279,0.099,39,"(150000, 200000]",3
Manatee,2012,330302,36998,185251.0,53.58,26.0,166.0,389.0,1354.0,2731.0,7768.0,404.0,3835.0,137215.0,12553,149768,0.084,39,"(150000, 200000]",3
Manatee,2013,333880,37320,207114.0,56.39,13.0,209.0,385.0,1322.0,2642.0,7558.0,422.0,3709.0,144059.0,10841,154900,0.07,39,"(200000, 250000]",4
Manatee,2014,339545,37931,231081.0,59.79,14.0,213.0,318.0,1328.0,2158.0,7300.0,434.0,3420.0,150831.0,9445,160276,0.059,39,"(200000, 250000]",4
Manatee,2015,349334,39444,248962.0,55.93,20.0,206.0,291.0,1516.0,2035.0,6756.0,426.0,3180.0,157051.0,8476,165527,0.051,39,"(200000, 250000]",4
Manatee,2016,357591,40913,268303.0,58.52,23.0,165.0,259.0,1330.0,1479.0,5884.0,421.0,2641.0,163281.0,7867,171148,0.046,39,"(250000, 300000]",5
Manatee,2017,368782,41597,282599.0,60.8,24.0,185.0,274.0,1399.0,1236.0,5179.0,414.0,2334.0,167587.0,7037,174624,0.04,39,"(250000, 300000]",5
Manatee,2018,377826,43043,291282.0,58.12,19.0,169.0,285.0,1331.0,1129.0,5710.0,474.0,2384.0,171719.0,6202,177921,0.035,39,"(250000, 300000]",5
Marion,2001,264277,26012,97364.0,48.44,15.0,153.0,233.0,1499.0,2495.0,5883.0,591.0,4113.0,104286.0,5639,109925,0.051,40,"(50000, 100000]",1
Marion,2002,271096,26628,99228.0,59.94,16.0,180.0,230.0,1550.0,2613.0,5492.0,553.0,3923.0,104907.0,6748,111655,0.06,40,"(50000, 100000]",1
Marion,2003,281966,27840,105765.0,54.17,10.0,193.0,254.0,1424.0,2513.0,5619.0,588.0,3760.0,108099.0,6287,114386,0.055,40,"(100000, 150000]",2
Marion,2004,293317,29013,117844.0,63.17,17.0,191.0,208.0,1463.0,2405.0,5730.0,659.0,3639.0,113984.0,5744,119728,0.048,40,"(100000, 150000]",2
Marion,2005,304926,30008,144607.0,58.52,17.0,192.0,253.0,1494.0,2520.0,5463.0,616.0,3461.0,123011.0,4851,127862,0.038,40,"(100000, 150000]",2
Marion,2006,315074,31330,181630.0,37.92,15.0,199.0,277.0,1706.0,2118.0,5376.0,570.0,3257.0,129573.0,4606,134179,0.034,40,"(150000, 200000]",3
Marion,2007,325023,31623,182532.0,50.15,14.0,171.0,275.0,1561.0,2489.0,5931.0,584.0,3392.0,130851.0,6396,137247,0.047,40,"(150000, 200000]",3
Marion,2008,329418,32579,159785.0,49.75,22.0,184.0,312.0,1417.0,2365.0,5469.0,504.0,3119.0,127220.0,11155,138375,0.081,40,"(150000, 200000]",3
Marion,2009,330440,32724,134017.0,51.86,12.0,183.0,266.0,1316.0,2384.0,5724.0,372.0,3104.0,118007.0,17275,135282,0.128,40,"(100000, 150000]",2
Marion,2010,331303,33014,118386.0,49.2,9.0,163.0,243.0,1259.0,2371.0,5659.0,314.0,3035.0,113748.0,17320,131068,0.132,40,"(100000, 150000]",2
Marion,2011,331745,33475,102981.0,48.95,14.0,182.0,191.0,1203.0,2540.0,5549.0,292.0,3006.0,114256.0,15998,130254,0.123,40,"(100000, 150000]",2
Marion,2012,332989,33841,97680.0,52.99,21.0,187.0,162.0,1174.0,1989.0,5080.0,242.0,2659.0,116046.0,13640,129686,0.105,40,"(50000, 100000]",1
Marion,2013,335008,34425,104008.0,51.44,17.0,148.0,170.0,1031.0,1864.0,4877.0,275.0,2502.0,119141.0,11642,130783,0.089,40,"(100000, 150000]",2
Marion,2014,337455,34811,111208.0,59.65,19.0,131.0,171.0,1031.0,1655.0,5013.0,260.0,2454.0,121579.0,9863,131442,0.075,40,"(100000, 150000]",2
Marion,2015,341205,35784,118117.0,50.37,10.0,113.0,195.0,867.0,1712.0,5088.0,333.0,2438.0,122131.0,8567,130698,0.066,40,"(100000, 150000]",2
Marion,2016,345749,37092,127054.0,46.92,18.0,90.0,213.0,853.0,1926.0,5384.0,613.0,2631.0,124689.0,7777,132466,0.059,40,"(100000, 150000]",2
Marion,2017,349267,37233,139642.0,60.84,17.0,143.0,253.0,975.0,1947.0,5435.0,689.0,2708.0,126814.0,6812,133626,0.051,40,"(100000, 150000]",2
Marion,2018,353898,38265,150330.0,63.97,29.0,244.0,199.0,1003.0,1611.0,5175.0,642.0,2516.0,129708.0,5966,135674,0.044,40,"(150000, 200000]",3
Martin,2001,128873,28589,169137.0,60.52,2.0,33.0,125.0,328.0,878.0,2911.0,199.0,3473.0,55511.0,3015,58526,0.052,41,"(150000, 200000]",3
Martin,2002,131051,30638,188295.0,50.58,6.0,43.0,117.0,400.0,1011.0,3009.0,259.0,3697.0,56135.0,3523,59658,0.059,41,"(150000, 200000]",3
Martin,2003,134491,30963,217628.0,54.83,4.0,29.0,122.0,377.0,893.0,3012.0,230.0,3470.0,57777.0,3384,61161,0.055,41,"(200000, 250000]",4
Martin,2004,137637,32605,262035.0,60.07,7.0,32.0,107.0,376.0,806.0,2907.0,224.0,3240.0,58991.0,3208,62199,0.052,41,"(250000, 300000]",5
Martin,2005,141059,34518,328051.0,57.74,3.0,14.0,144.0,438.0,710.0,2461.0,249.0,2849.0,62084.0,2568,64652,0.04,41,"(300000, 350000]",6
Martin,2006,142645,35098,373760.0,36.49,7.0,17.0,161.0,427.0,779.0,2885.0,208.0,3143.0,62964.0,2283,65247,0.035,41,"(350000, 400000]",7
Martin,2007,143737,37341,329915.0,51.04,3.0,17.0,156.0,389.0,808.0,3094.0,229.0,3267.0,62057.0,2883,64940,0.044,41,"(300000, 350000]",6
Martin,2008,143868,37805,285079.0,62.26,2.0,18.0,164.0,295.0,887.0,3128.0,174.0,3245.0,59125.0,4550,63675,0.071,41,"(250000, 300000]",5
Martin,2009,143856,38553,243259.0,46.01,8.0,16.0,156.0,286.0,928.0,2639.0,150.0,2908.0,56024.0,6903,62927,0.11,41,"(200000, 250000]",4
Martin,2010,146318,38505,228925.0,49.49,2.0,16.0,113.0,269.0,796.0,2585.0,118.0,2712.0,59186.0,6870,66056,0.104,41,"(200000, 250000]",4
Martin,2011,146689,39324,215163.0,45.42,3.0,23.0,93.0,224.0,797.0,2784.0,103.0,2745.0,59867.0,6543,66410,0.099,41,"(200000, 250000]",4
Martin,2012,147203,39439,213568.0,47.36,4.0,38.0,88.0,244.0,721.0,2369.0,133.0,2444.0,60993.0,5712,66705,0.086,41,"(200000, 250000]",4
Martin,2013,148077,38148,230079.0,49.67,0.0,19.0,61.0,161.0,699.0,2436.0,126.0,2365.0,62256.0,5060,67316,0.075,41,"(200000, 250000]",4
Martin,2014,148585,39007,253807.0,51.07,5.0,48.0,77.0,215.0,579.0,1969.0,98.0,2013.0,64296.0,4276,68572,0.062,41,"(250000, 300000]",5
Martin,2015,150062,40420,274224.0,43.29,0.0,55.0,60.0,259.0,383.0,1980.0,105.0,1894.0,65987.0,3782,69769,0.054,41,"(250000, 300000]",5
Martin,2016,150870,40663,295185.0,52.22,6.0,58.0,59.0,248.0,394.0,2013.0,87.0,1899.0,67646.0,3479,71125,0.049,41,"(250000, 300000]",5
Martin,2017,153022,41252,314101.0,63.85,1.0,73.0,53.0,258.0,569.0,2229.0,101.0,2146.0,68947.0,3047,71994,0.042,41,"(300000, 350000]",6
Martin,2018,155556,42308,330500.0,46.83,3.0,80.0,76.0,238.0,263.0,1810.0,64.0,1629.0,70174.0,2631,72805,0.036,41,"(300000, 350000]",6
Miami-Dade,2001,2285869,34524,156934.0,64.01,190.0,1111.0,8397.0,16238.0,26827.0,98426.0,23784.0,7655.0,1026885.0,48260,1075145,0.045,42,"(150000, 200000]",3
Miami-Dade,2002,2312478,35694,177452.0,54.86,204.0,1143.0,8435.0,15830.0,26120.0,95340.0,21205.0,7277.0,1008222.0,44888,1053110,0.043,42,"(150000, 200000]",3
Miami-Dade,2003,2345932,36889,207530.0,61.45,205.0,1241.0,8559.0,14880.0,25811.0,97027.0,20650.0,7177.0,1026479.0,39283,1065762,0.037,42,"(200000, 250000]",4
Miami-Dade,2004,2379818,38849,244443.0,45.76,218.0,1195.0,7774.0,14608.0,24627.0,92351.0,19052.0,6716.0,1046521.0,33567,1080088,0.031,42,"(200000, 250000]",4
Miami-Dade,2005,2422075,40599,307637.0,57.32,171.0,1024.0,7387.0,14764.0,25585.0,84229.0,17275.0,6211.0,1106002.0,27103,1133105,0.024,42,"(300000, 350000]",6
Miami-Dade,2006,2437022,42975,376292.0,46.57,240.0,1058.0,7538.0,14160.0,24525.0,80282.0,17019.0,5943.0,1155886.0,24619,1180505,0.021,42,"(350000, 400000]",7
Miami-Dade,2007,2462292,44228,386882.0,54.23,228.0,941.0,8872.0,13251.0,26713.0,87420.0,17177.0,6279.0,1194185.0,32870,1227055,0.027,42,"(350000, 400000]",7
Miami-Dade,2008,2477289,45142,315895.0,53.38,228.0,883.0,8047.0,12305.0,26030.0,88930.0,16100.0,6157.0,1169309.0,53286,1222595,0.044,42,"(300000, 350000]",6
Miami-Dade,2009,2472344,45231,224780.0,50.95,215.0,741.0,7054.0,11398.0,25345.0,85359.0,12150.0,5754.0,1083040.0,108135,1191175,0.091,42,"(200000, 250000]",4
Miami-Dade,2010,2496457,45653,198408.0,56.46,224.0,701.0,5958.0,11216.0,23111.0,84061.0,10906.0,5490.0,1085051.0,144330,1229381,0.117,42,"(150000, 200000]",3
Miami-Dade,2011,2516537,46438,183754.0,55.93,218.0,853.0,6157.0,10642.0,24227.0,84714.0,10848.0,5470.0,1140476.0,121479,1261955,0.096,42,"(150000, 200000]",3
Miami-Dade,2012,2551290,47011,188015.0,68.47,210.0,769.0,6006.0,9745.0,21109.0,83124.0,9459.0,5112.0,1185974.0,101339,1287313,0.079,42,"(150000, 200000]",3
Miami-Dade,2013,2582375,47458,213701.0,60.51,229.0,813.0,6370.0,9497.0,18935.0,82528.0,8332.0,4906.0,1176128.0,96689,1272817,0.076,42,"(200000, 250000]",4
Miami-Dade,2014,2613692,48883,244165.0,50.03,212.0,801.0,5706.0,9842.0,17115.0,80448.0,8478.0,4691.0,1210346.0,87849,1298195,0.068,42,"(200000, 250000]",4
Miami-Dade,2015,2653934,50527,265944.0,56.8,217.0,756.0,5366.0,9896.0,14534.0,76400.0,8800.0,4370.0,1215857.0,79416,1295273,0.061,42,"(250000, 300000]",5
Miami-Dade,2016,2700794,51259,292275.0,54.14,198.0,796.0,4831.0,9810.0,11774.0,75242.0,8568.0,4118.0,1233029.0,72230,1305259,0.055,42,"(250000, 300000]",5
Miami-Dade,2017,2743095,52961,316975.0,58.61,188.0,874.0,4032.0,9364.0,11628.0,72384.0,8702.0,3907.0,1287153.0,61853,1349006,0.046,42,"(300000, 350000]",6
Miami-Dade,2018,2779322,54800,339671.0,49.61,198.0,916.0,3653.0,8965.0,9178.0,69295.0,8336.0,3618.0,1303064.0,48610,1351674,0.036,42,"(300000, 350000]",6
Monroe,2015,74206,38902,552227.0,51.33,2.0,35.0,30.0,290.0,426.0,1903.0,144.0,3814.0,44332.0,1616,45948,0.035,43,"(550000, 600000]",11
Monroe,2016,76047,39120,605650.0,47.8,2.0,33.0,33.0,213.0,321.0,1624.0,134.0,3103.0,45095.0,1497,46592,0.032,43,"(600000, 650000]",12
Monroe,2017,76889,41017,617164.0,52.65,9.0,19.0,29.0,235.0,271.0,1452.0,116.0,2772.0,44121.0,1505,45626,0.033,43,"(600000, 650000]",12
Monroe,2018,73940,42722,625201.0,45.51,2.0,29.0,23.0,210.0,187.0,1350.0,124.0,2604.0,43910.0,1175,45085,0.026,43,"(600000, 650000]",12
Nassau,2001,59409,29673,151108.0,43.12,7.0,15.0,43.0,675.0,697.0,774.0,173.0,4013.0,29450.0,1278,30728,0.042,44,"(150000, 200000]",3
Nassau,2002,61094,30747,162857.0,52.29,2.0,12.0,29.0,718.0,674.0,808.0,213.0,4020.0,29053.0,1523,30576,0.05,44,"(150000, 200000]",3
Nassau,2003,63062,31438,171630.0,49.68,4.0,19.0,21.0,769.0,514.0,747.0,130.0,3495.0,29203.0,1501,30704,0.049,44,"(150000, 200000]",3
Nassau,2004,65016,31810,186981.0,57.13,2.0,35.0,25.0,716.0,435.0,876.0,122.0,3401.0,29941.0,1315,31256,0.042,44,"(150000, 200000]",3
Nassau,2005,65759,32948,218141.0,60.92,0.0,20.0,21.0,720.0,407.0,946.0,120.0,3397.0,31631.0,1089,32720,0.033,44,"(200000, 250000]",4
Nassau,2006,68188,33973,255057.0,35.05,4.0,11.0,25.0,936.0,571.0,1154.0,141.0,4168.0,33111.0,982,34093,0.029,44,"(250000, 300000]",5
Nassau,2007,69569,34688,264962.0,45.09,2.0,16.0,30.0,959.0,497.0,1018.0,153.0,3845.0,33994.0,1197,35191,0.034,44,"(250000, 300000]",5
Nassau,2008,71915,34821,242604.0,51.21,1.0,10.0,39.0,571.0,569.0,1267.0,118.0,3581.0,34261.0,2015,36276,0.056,44,"(200000, 250000]",4
Nassau,2009,72588,34976,205070.0,55.57,2.0,6.0,35.0,351.0,498.0,1119.0,96.0,2903.0,32469.0,3451,35920,0.096,44,"(200000, 250000]",4
Nassau,2010,73314,37186,187419.0,33.18,0.0,7.0,24.0,162.0,455.0,979.0,54.0,2349.0,31842.0,3649,35491,0.103,44,"(150000, 200000]",3
Nassau,2011,73684,38377,175371.0,44.93,0.0,4.0,12.0,109.0,410.0,1021.0,74.0,2212.0,32372.0,3434,35806,0.096,44,"(150000, 200000]",3
Nassau,2012,73745,39729,175097.0,55.02,1.0,4.0,21.0,86.0,412.0,926.0,72.0,2064.0,32750.0,2965,35715,0.083,44,"(150000, 200000]",3
Nassau,2013,74661,38637,192620.0,52.07,1.0,5.0,13.0,61.0,318.0,828.0,51.0,1710.0,33542.0,2532,36074,0.07,44,"(150000, 200000]",3
Nassau,2014,75321,40092,217194.0,61.3,1.0,2.0,20.0,60.0,297.0,864.0,71.0,1746.0,33989.0,2219,36208,0.061,44,"(200000, 250000]",4
Nassau,2015,76536,39959,229069.0,48.63,2.0,16.0,12.0,66.0,375.0,586.0,47.0,1442.0,34798.0,1905,36703,0.052,44,"(200000, 250000]",4
Nassau,2016,77841,38870,236659.0,41.96,5.0,22.0,9.0,135.0,533.0,616.0,51.0,1761.0,36176.0,1721,37897,0.045,44,"(200000, 250000]",4
Nassau,2017,80456,39531,254759.0,56.01,1.0,21.0,15.0,170.0,409.0,677.0,78.0,1704.0,37564.0,1540,39104,0.039,44,"(250000, 300000]",5
Nassau,2018,82748,41359,275584.0,54.15,2.0,24.0,7.0,168.0,410.0,760.0,115.0,1796.0,39148.0,1326,40474,0.033,44,"(250000, 300000]",5
Okaloosa,2001,173450,26151,122682.0,50.19,5.0,64.0,117.0,371.0,921.0,3812.0,232.0,3184.0,79612.0,3443,83055,0.041,45,"(100000, 150000]",2
Okaloosa,2002,176971,27242,127219.0,65.19,4.0,67.0,108.0,384.0,911.0,3644.0,278.0,3049.0,81940.0,3766,85706,0.044,45,"(100000, 150000]",2
Okaloosa,2003,181102,29266,136315.0,69.49,3.0,60.0,118.0,389.0,940.0,3646.0,294.0,3009.0,85403.0,3339,88742,0.038,45,"(100000, 150000]",2
Okaloosa,2004,185778,31163,160847.0,69.61,3.0,49.0,102.0,402.0,1197.0,3712.0,321.0,3114.0,89920.0,3134,93054,0.034,45,"(150000, 200000]",3
Okaloosa,2005,188939,32976,217967.0,71.84,3.0,50.0,106.0,400.0,1081.0,3909.0,388.0,3142.0,93848.0,2722,96570,0.028,45,"(200000, 250000]",4
Okaloosa,2006,192672,34409,257523.0,39.58,5.0,58.0,106.0,507.0,1039.0,3867.0,433.0,3122.0,96352.0,2379,98731,0.024,45,"(250000, 300000]",5
Okaloosa,2007,196540,35613,236064.0,52.86,4.0,68.0,144.0,481.0,1182.0,4125.0,363.0,3240.0,94552.0,2975,97527,0.031,45,"(200000, 250000]",4
Okaloosa,2008,197597,36454,207886.0,55.53,3.0,63.0,139.0,455.0,1047.0,4198.0,294.0,3137.0,92269.0,4592,96861,0.047,45,"(200000, 250000]",4
Okaloosa,2009,196237,37823,183958.0,78.2,5.0,71.0,138.0,287.0,1038.0,3876.0,262.0,2893.0,89500.0,6918,96418,0.072,45,"(150000, 200000]",3
Okaloosa,2010,180822,38638,177382.0,54.34,3.0,67.0,114.0,451.0,1168.0,3832.0,244.0,3010.0,81155.0,7193,88348,0.081,45,"(150000, 200000]",3
Okaloosa,2011,181679,38881,166053.0,45.59,4.0,71.0,113.0,546.0,997.0,4037.0,217.0,3294.0,83334.0,7051,90385,0.078,45,"(150000, 200000]",3
Okaloosa,2012,187280,39523,165261.0,58.03,2.0,93.0,108.0,635.0,920.0,3889.0,219.0,3132.0,84517.0,6293,90810,0.069,45,"(150000, 200000]",3
Okaloosa,2013,188349,40207,173895.0,70.44,4.0,105.0,119.0,568.0,815.0,3399.0,189.0,2760.0,86383.0,5483,91866,0.06,45,"(150000, 200000]",3
Okaloosa,2014,190666,41111,181012.0,64.37,3.0,91.0,112.0,547.0,960.0,3601.0,195.0,2889.0,87023.0,4867,91890,0.053,45,"(150000, 200000]",3
Okaloosa,2015,191898,42627,185609.0,56.55,12.0,78.0,86.0,564.0,908.0,3812.0,205.0,2952.0,87870.0,4209,92079,0.046,45,"(150000, 200000]",3
Okaloosa,2016,192925,43388,191323.0,56.51,10.0,108.0,84.0,597.0,842.0,3792.0,281.0,2962.0,89740.0,3793,93533,0.041,45,"(150000, 200000]",3
Okaloosa,2017,195488,44313,202910.0,73.38,6.0,100.0,80.0,542.0,899.0,3513.0,332.0,2799.0,90997.0,3310,94307,0.035,45,"(200000, 250000]",4
Okaloosa,2018,198152,45655,216413.0,72.63,9.0,104.0,59.0,546.0,638.0,3366.0,306.0,2537.0,92280.0,2911,95191,0.031,45,"(200000, 250000]",4
Okeechobee,2001,36147,24869,129513.0,53.17,2.0,24.0,26.0,191.0,293.0,919.0,55.0,4177.0,14675.0,1000,15675,0.064,46,"(100000, 150000]",2
Okeechobee,2002,36551,25162,139921.0,53.17,1.0,16.0,54.0,172.0,350.0,824.0,89.0,4120.0,15015.0,1136,16151,0.07,46,"(100000, 150000]",2
Okeechobee,2003,37236,25767,152287.0,55.88,1.0,22.0,37.0,187.0,368.0,717.0,63.0,3746.0,15118.0,1101,16219,0.068,46,"(150000, 200000]",3
Okeechobee,2004,38004,27363,167095.0,60.84,1.0,26.0,12.0,242.0,482.0,555.0,91.0,3708.0,15144.0,1038,16182,0.064,46,"(150000, 200000]",3
Okeechobee,2005,37765,27966,198065.0,54.71,2.0,18.0,21.0,301.0,431.0,630.0,88.0,3948.0,16386.0,834,17220,0.048,46,"(150000, 200000]",3
Okeechobee,2006,38666,28870,230527.0,35.68,6.0,17.0,38.0,239.0,467.0,674.0,87.0,3952.0,16748.0,725,17473,0.041,46,"(200000, 250000]",4
Okeechobee,2007,39030,29661,223019.0,41.66,1.0,20.0,12.0,207.0,369.0,597.0,71.0,3272.0,16608.0,929,17537,0.053,46,"(200000, 250000]",4
Okeechobee,2008,40003,30311,187527.0,53.74,2.0,19.0,36.0,236.0,589.0,816.0,53.0,4377.0,16183.0,1479,17662,0.084,46,"(150000, 200000]",3
Okeechobee,2009,39703,30904,157725.0,42.69,4.0,15.0,19.0,213.0,512.0,810.0,47.0,4080.0,16040.0,2159,18199,0.119,46,"(150000, 200000]",3
Okeechobee,2010,39996,31177,142177.0,46.46,2.0,17.0,43.0,164.0,564.0,756.0,36.0,3973.0,15740.0,2194,17934,0.122,46,"(100000, 150000]",2
Okeechobee,2011,39870,31449,133229.0,46.21,0.0,27.0,17.0,157.0,493.0,857.0,48.0,4011.0,15607.0,2111,17718,0.119,46,"(100000, 150000]",2
Okeechobee,2012,39805,32167,132781.0,49.38,0.0,19.0,30.0,150.0,550.0,786.0,51.0,3984.0,16341.0,1870,18211,0.103,46,"(100000, 150000]",2
Okeechobee,2013,39762,33332,143644.0,50.79,3.0,14.0,18.0,115.0,345.0,1139.0,46.0,4225.0,16421.0,1645,18066,0.091,46,"(100000, 150000]",2
