SizeRank,County,State,Metro,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
132,Volusia County,FL,Deltona-Daytona Beach-Ormond Beach,156317,156532,156738,157088,157353,157520,157733,157911,158043,158125,158143,158187,157915,157731,157631,157926,158264,158616,158843,159098,159385,159845,160489,161122,162169,162914,163517,163511,163629,163854,164176,164569,165026,165422,165689,165920,166121,166570,166956,167579,168148,169003,169938,170843,171798,172463,173040,173633,174478,175376,176443,177422,178402,179020,179639,180402,181139,182163,183312,184560,185701,186744,187752,188898,190133,191401,192764,194018,195514,196913,198404,199897,201232,202808,204398,206192,207846,209415,210901,212468,214328,216241,218012,219660,221643,223801,225769,227514,229440,232280,235168,237613,239398,241710,244770,247938,250736,253164,256612,260087,263930,266991,270973,276098,281246,285984,289749,294719,300510,306893,312067,317979,324751,332221,339023,345438,353388,361416,370457,378238,384889,390423,396261,401477,405138,408374,411033,412825,411878,410678,409076,405909,402599,399170,397636,394596,390249,384608,379117,374010,369059,363071,357126,352053,346264,339721,330306,324541,319425,315341,309150,302761,297688,293775,288048,282400,277728,275580,273578,268664,263447,258777,256136,254062,251141,247385,244182,241166,239108,235772,234062,232318,231887,229562,227183,223780,220691,218228,217750,217693,216102,213877,210798,208402,205187,203979,202683,202328,201838,201597,200128,197920,196123,195466,196017,197856,199661,200487,201361,201903,203021,203935,205394,207600,210398,212986,214694,215140,216922,219026,221579,224703,227509,229954,231641,233431,235428,237771,239289,240860,240431,240906,240661,240347,240335,241421,243240,244777,245229,245306,246209,247285,249481,250693,252574,254139,255876,256409,256739,257195,259465,260947,262409,263358,265275,267738,270155,272606,273888,275965,277980,280265,281445,283658,286072,288973,290931,292737,294132,295416,298094,301065,304038,305961,307117,308853,310150,312221,313349,314352,315120,316279,317101,317285,317635,319068,321185,321639,323184,323964,326238,327504,329479,331316,332538,333536,334329,334990,336824,338969,340263,341379,341700,343457,343757,344954,346571,349721,353472,357638,361448,366482,372548,379875,388338,397312,408439
140,Pasco County,FL,Tampa-St. Petersburg-Clearwater,150680,150744,150732,150867,150968,151148,151270,151385,151493,151529,151669,152201,152100,152012,151746,152115,152554,152869,153277,153598,153918,154203,154485,155075,156179,157185,157799,157924,158046,158161,158299,158710,159271,160135,160748,159774,159525,159493,160946,161456,161947,162656,163375,164029,164516,165020,165707,166978,167967,168862,169312,170130,171114,172041,172998,173741,174788,175759,176872,178031,179036,180032,180887,181943,182978,183966,185041,186299,187380,188483,189382,190646,191897,193290,194517,195626,196669,197624,198580,199474,200468,201498,202729,203941,205437,207015,208693,210653,212475,214637,216543,218751,220721,222994,225373,227881,230427,232932,235273,237419,240018,242600,245718,248825,252450,256119,260571,265361,270315,275197,280427,285709,290985,297482,305115,313443,321453,328670,334877,340133,344386,347562,352088,357152,362861,365618,366271,365088,364059,364040,361751,358703,355542,354076,351883,349639,346522,343650,339307,336038,331709,325717,321445,319178,316834,313708,307011,300764,293477,287383,282924,278288,274767,271788,267848,262556,256520,250902,247531,243936,240913,237829,234832,231506,228390,225841,224624,222999,222509,222330,222530,222283,221473,220528,218979,217748,215679,213193,210360,208471,206705,204074,201447,198668,196614,194101,192194,190375,189452,189114,188604,187905,186822,186402,185895,186226,187057,188578,189553,190528,190777,191381,192635,194383,196573,198958,201112,203259,205055,207093,209736,212889,216536,218803,220266,221374,223005,223304,224276,224088,225128,225710,226834,226731,226778,227690,229397,230377,230014,230823,231749,234174,234772,235375,236049,238277,240245,241717,241762,242980,244760,247746,250134,251824,253749,255807,257330,258072,258679,259902,262882,266080,269296,270477,271045,271739,273463,275863,278232,280197,281754,283673,284884,284948,285743,287307,290310,292313,293855,294571,294083,294192,295032,295594,295640,296965,297994,299106,298818,300038,301367,302357,303851,304929,306357,307003,308264,309071,309028,309575,312343,316123,318648,318767,320160,322782,326619,330959,335718,341082,347933,354945,361370,367311,375398,387140,399009
157,Seminole County,FL,Orlando-Kissimmee-Sanford,180613,180762,180910,181197,181472,181786,182162,182595,182979,183328,183672,184035,183847,183741,183666,184221,184663,185072,185314,185451,185602,185998,186510,187028,188500,189896,191328,191595,192059,192533,193168,193839,194469,195156,195729,196496,196847,197232,197631,198558,199598,200593,201673,203031,204993,206126,207277,207969,209073,210312,211444,212842,214053,215458,216942,218201,219206,220585,222038,223725,225109,226384,227630,228918,230214,231485,232649,233958,235110,236430,237798,239284,240824,242229,243822,245264,246873,248439,249912,251276,252668,254224,255934,257571,259344,261335,263726,266125,268266,269925,271392,272859,274550,276614,278748,281328,283502,286317,288066,289935,291933,295237,299076,302820,306657,311592,317192,322288,327791,333353,340338,347567,354937,363617,373877,386696,399872,409531,418502,427691,438201,446158,452351,458439,465299,469659,471984,470859,468817,467557,464804,463803,461463,461111,460479,459681,459553,456530,450806,444189,438156,434518,431545,424480,416395,406313,399709,392899,384231,376702,370976,367138,362460,355478,347036,339592,332709,329364,324182,317398,309651,303290,299898,295229,291243,286414,284739,283822,283156,279804,276163,275015,275763,276012,272414,269313,266213,265885,263333,261035,257550,254562,252418,250035,247311,244009,241910,241248,240174,238368,236901,236547,237463,238759,239137,239656,240298,242351,244620,246104,248177,250575,253557,254781,256683,259856,264401,267468,271028,273925,277705,280260,283595,287061,290861,294748,297096,298106,298749,300582,301494,302924,303249,305422,306206,306552,306024,306096,307386,308605,308695,308866,310302,311633,313870,314929,316734,317530,319753,322006,323925,326477,330180,333411,334626,335884,336833,338669,340429,343719,344765,345336,345929,348224,350705,353555,356166,357997,359492,361167,362815,363976,367501,372084,375664,375362,373997,373495,375404,378518,381390,383917,385186,386432,386437,386923,388241,391207,393563,394331,394912,395610,397082,397241,398433,399009,398748,398850,400606,404234,408205,412598,415222,414865,414244,415584,418708,422218,427045,431677,435427,438299,442154,447073,453807,463591,474164
172,Sarasota County,FL,North Port-Sarasota-Bradenton,235642,235761,235942,236239,236447,236598,236754,237043,237359,237607,237848,238018,238527,239068,239843,240506,241396,242321,243397,244337,245178,246039,246952,248104,249218,250274,250945,251366,251850,252529,253227,253990,254826,255874,256849,258174,258745,259519,259695,260987,262122,263520,264633,265809,267441,269143,271200,272053,273395,274599,277492,279695,281905,283430,285221,287073,288840,290917,292888,295286,297503,299852,302246,304838,307668,311130,315314,319381,322706,324947,327203,329828,332522,335654,338087,340978,343768,346652,349054,351119,353799,357475,361582,365953,370795,375235,378727,381364,383707,385881,388284,391382,395315,398787,402496,406219,409971,413889,418051,423403,428819,434854,440809,448584,456726,465680,475189,484350,493256,502384,515521,529517,544447,558305,573189,586510,598141,609797,617672,628260,639871,650503,655027,654831,657456,660474,660036,656823,651913,645902,640218,629824,619971,610249,602563,594854,582302,570649,560234,551378,543848,535880,528510,520829,510585,500961,491635,485885,479784,472366,464196,455394,446162,437360,430395,424858,419768,413330,406701,397420,391515,386545,383613,380601,378300,376449,374305,372188,370582,369634,369340,371506,371504,370790,368971,368053,367221,365754,362831,360867,358952,358365,356059,353351,350812,349669,347191,345048,343209,342348,342394,341244,340434,339571,340731,341884,343539,344682,348419,351659,353710,355249,358074,362846,367921,371931,375713,378645,381795,384816,387651,391679,396657,401257,403620,404048,404690,406407,407917,410681,413124,415337,416088,414626,414498,415809,420299,425050,429829,433502,437037,438442,440256,442593,445813,451458,456355,461145,462096,463652,465045,468262,470942,474490,477317,479943,482256,483440,485010,485546,487692,488977,489458,488235,486919,486632,487377,488601,490866,492526,492291,491403,491257,492089,492042,492627,494097,496508,498299,499101,498135,498144,498168,499467,499560,500154,502059,503965,505252,505564,505058,505571,507250,506255,504250,501417,502794,505532,508200,510836,515170,519909,524068,524431,522625,523525,528107,535168,540532,545910,552657,561231,570531,581907,596596,616692,641292
192,Marion County,FL,Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142037,142896,143500,144718,145691,146778,147879,149003,150030,150995,151963,152959,153965,155344,156458,157575,158317,159068,159774,160303,160895,161400,161839,162171,162395,161229,160673,160300,161244,161626,161892,162282,162708,163357,164016,164723,165434,166793,167988,169067,169770,170950,172276,173627,174891,176052,177203,178322,179664,181220,182861,184516,186133,188086,190214,192394,194900,197264,199894,202971,206953,211079,214612,218306,222414,226723,230998,236163,242250,248770,254704,259873,264336,268909,274230,280337,286309,291279,295768,298406,299387,299780,300882,302960,303866,302316,300279,297385,294724,291750,288813,286604,284078,282340,280295,277137,272784,270318,268382,266456,262905,259238,255573,252097,249407,245537,240582,235555,232344,229987,227411,224346,221766,218763,216304,213326,210453,208085,206647,205860,204746,202773,200865,199194,197457,196430,195052,194048,192370,190643,188885,186545,184476,182121,179504,176938,174960,173987,172694,171217,169151,167355,165753,165093,164525,164220,164271,164193,164090,162894,162252,161816,163141,164928,166405,167352,167500,168451,169020,170191,170641,171966,173146,174627,175290,175355,176140,176695,178211,178671,179593,180592,182318,183257,184244,185398,186650,187713,187908,188673,189129,190268,191595,192284,193163,193864,194585,194600,194757,195534,196589,197484,198451,199376,199694,200298,200752,202147,203734,205259,206584,207621,208829,209938,210919,211797,213462,215339,217019,217849,218357,219654,220963,222365,223585,224980,226388,227469,228020,228373,229043,230515,232320,233499,234636,235408,236883,237808,239168,241141,242926,243914,244343,244461,245273,246362,247537,248485,248683,250085,251521,252163,252706,253673,255237,256402,257174,258139,259594,261640,264289,266617,269114,272428,276457,281100,286043,291944,298399
195,Manatee County,FL,North Port-Sarasota-Bradenton,223011,223319,223527,224325,225213,226154,226908,227578,228103,228509,229018,229964,230370,230887,231165,231971,232297,232511,232662,233130,234089,235143,236064,236301,237677,238858,240693,241059,241971,242942,244414,245695,246558,247453,248139,248910,248989,249491,250275,251238,252454,253680,255141,256114,256866,257993,259729,261685,263716,265335,265880,267826,268731,269797,269936,271453,273837,275707,277279,278861,280480,282263,284744,286879,289502,292056,295052,297731,300587,303687,306570,309217,312039,314924,317535,319628,322046,324752,327830,330808,333323,335609,338059,340924,344177,347896,351369,354847,358406,361957,365299,368412,372374,377079,381970,386343,390246,394305,399246,403358,407312,410651,415943,421638,427758,434291,440248,447166,454358,463366,473231,483785,493856,505219,516835,528676,538951,548253,559799,570706,581986,587659,592246,599957,609832,618190,619406,619555,618341,616661,612809,609170,603053,597380,589321,579836,568533,558258,549050,539519,529235,520756,509627,498709,487221,479030,472467,464054,456613,447457,441670,434396,427748,416947,409889,401996,397497,390543,383562,378349,371759,366430,360109,356181,354103,355315,355884,355635,352978,351650,351105,349235,347274,345458,344298,342605,338932,334226,328670,326074,324347,322050,318278,315865,315148,314282,312877,311374,311408,311700,312711,311717,312170,313894,316805,318431,318895,319043,320457,322298,324824,326423,328453,330892,333019,333408,334922,338079,342912,348744,352845,356514,357919,362378,366390,371540,374522,379771,382666,384064,383859,384164,385570,387257,390074,391464,392622,392775,394266,395440,398389,402524,406869,409700,411652,414523,417365,420290,422704,425491,428264,430085,430874,431265,431619,432823,435513,436488,438324,438912,441509,443421,445602,447744,449290,450438,451507,452905,453228,455085,455599,457335,456771,457054,456829,456426,458074,460262,462968,464211,464978,464990,465187,465258,466777,468207,468911,471697,471874,471327,468959,468657,470079,471374,472102,472254,472574,473113,474717,474409,476999,479978,482925,483215,482820,484166,487403,492153,497499,503822,511159,520477,529888,540984,554875,572428,592222
196,Collier County,FL,Naples-Immokalee-Marco Island,346292,346611,347129,347926,348737,349505,350368,351227,351737,352081,352133,352573,352321,352462,352493,353614,354487,355309,355926,356708,358008,359604,361693,363024,366298,369188,372218,372992,374340,375856,377759,379649,381517,383271,385005,387472,388509,389786,390459,392820,394895,397447,399777,401950,404509,407621,410761,413488,415881,418026,421377,425212,429705,433528,437618,441913,446291,450063,454077,458140,463310,468687,473957,478801,483626,488396,493340,498430,503638,508859,513426,517938,521809,525570,528938,532426,535773,540039,544162,548396,552051,556054,560851,565895,570384,574382,578722,583005,587814,592114,596738,600553,604067,609051,614567,621295,627535,634420,639859,643238,646299,652469,661524,672800,685434,698731,713869,730215,747533,765225,783890,811925,842457,865335,882588,901800,924250,942652,953754,961768,973063,985571,1003474,1014872,1022555,1034272,1046325,1049116,1046015,1040600,1041010,1034793,1027799,1018815,1002728,979855,956820,937439,920190,905295,890678,878364,863249,853472,841868,832204,823785,817416,805840,789714,772856,762077,750187,740937,730006,719225,705891,690141,674868,661718,656069,652536,651235,644526,639327,630762,626952,622594,620260,617262,616537,616845,615868,613149,608136,603701,599766,596666,592260,588112,585133,585843,582908,578570,571894,569592,568532,567830,565525,563657,560733,559485,560086,560311,562534,565636,571417,572503,572110,572519,577074,583359,592630,599413,604075,603664,606814,609321,612679,617893,626038,635024,640629,645903,649327,654222,656288,665216,669416,676766,680516,686586,691685,695971,702949,709072,714934,719952,728346,734383,742272,748433,757675,763186,767737,772994,777931,782715,787768,793672,800874,807563,812465,813510,811430,813650,817508,820736,819188,818744,817964,817364,813439,808698,806524,806749,808668,808319,806819,806770,809805,810708,809267,807690,809317,813015,812521,811617,811368,813294,813512,811511,809447,809566,812069,813729,814788,814376,814602,814387,813238,811023,810585,809803,806160,803505,802451,806422,807891,810086,814115,817629,819627,820368,821120,825026,832091,840768,849431,856854,868499,882528,898305,917774,942082,971224,1003927
213,Escambia County,FL,Pensacola-Ferry Pass-Brent,162194,162193,162640,163180,163909,164253,164622,165014,165349,166070,166512,167117,167441,168445,169104,169981,170622,171771,172852,173780,174993,175496,176493,176920,178139,178504,179019,179081,179162,179259,179360,179740,179894,180371,180547,181054,180890,181054,180969,181312,181651,182329,183414,184413,185135,185657,186494,187939,189303,190435,191229,192229,193359,193557,192905,192223,192136,192445,192494,191852,192136,192310,193272,193267,193447,193584,194108,194442,194908,195282,195883,196500,196788,197156,197346,197896,198028,198606,199146,200179,200692,201234,201582,202480,202993,204039,204807,205886,206756,207309,207857,208292,209250,210418,211620,212305,213420,214835,216897,218780,220493,221992,224145,226821,230222,233446,237299,241898,246613,250130,252928,256314,261755,269778,277686,285103,290326,295616,300598,305544,309031,312436,315810,319860,322083,321476,319622,318036,317036,315431,312873,309679,307948,307211,307192,305718,303660,302088,300575,298843,296981,295661,294580,293152,291339,288192,284241,279947,276732,273886,271566,268546,266051,262453,258767,255527,252703,251813,250704,249808,247819,245444,243739,241739,240282,240263,241889,243453,243306,241177,239100,237994,238455,238992,237873,236748,234523,231826,227272,222837,220192,219329,219367,218038,215362,212795,211537,211637,212103,212615,213410,214308,214961,214093,212463,211743,211907,212035,211982,211520,211343,211147,211482,211770,211333,211978,213343,214650,215878,217552,219209,220757,221703,222693,223443,224232,225814,226759,227016,227254,227076,226248,225369,224534,225024,225406,225899,226307,226762,227846,229394,230672,232613,234534,235877,236970,237009,237933,238716,240133,240734,241329,241851,243209,243473,243989,245160,247014,249299,250393,251803,252562,254508,255800,256948,257229,258869,260772,263005,264108,265319,266621,268070,269213,270259,272050,274655,277416,279282,280660,281419,283124,284456,286171,287777,290316,292105,292573,291991,291700,292012,292724,293906,295007,295911,296314,296396,297109,298007,301095,303448,306067,307203,308861,309854,311013,312523,315372,318945,322171,326242,329710,334831,340348,347759,355536,364767
215,Lake County,FL,Orlando-Kissimmee-Sanford,167339,167679,168076,168478,168827,169059,169638,170232,170847,171246,171728,172160,172829,173326,173613,174301,175037,175952,176298,176730,177150,178035,178843,179937,181069,182222,183355,183954,184625,185357,186246,187006,187759,188287,188771,188873,188336,188074,188139,189180,190238,191110,192048,192903,193798,194609,195481,196535,197798,198917,199751,200163,200463,201090,201853,202760,203511,204347,205063,205741,206427,207311,208315,209346,210409,211266,212031,212748,213545,214364,215262,216136,216910,217558,218272,219120,220025,220857,221702,222417,223221,224077,225137,226231,227310,228595,229896,231090,231917,232718,233394,234223,235173,236473,238341,240597,243033,245099,246719,248296,250687,253753,257151,261473,266111,270523,273755,277346,282137,287938,294221,301889,309972,319161,329271,337936,346858,355940,365918,374579,380918,386391,393247,397831,401061,400882,400641,400674,399037,397083,395259,394378,394376,393952,393265,392510,391964,390834,387018,384070,381754,379125,375077,369231,364599,358715,350132,342435,334218,329640,325056,319915,314278,308353,302065,296212,288257,282127,278190,274579,271225,265472,260682,255200,250445,246573,244493,244269,244400,243825,242285,240283,238423,236201,235411,235533,235989,234607,232061,227904,225026,222162,219295,216343,213975,213681,211962,209675,206260,205274,204810,205520,205318,205631,206413,208145,209462,210042,210236,210926,212744,214056,216500,217653,219217,220317,221865,223412,224909,226251,228228,230838,233855,236150,236910,238305,240191,242820,244987,245719,246343,247447,249961,251440,251761,251863,252504,253458,254383,254910,255555,256407,257660,258786,259119,260125,261394,263553,265518,267277,268690,269528,270474,272034,273884,275286,276510,277893,279705,281709,283376,284865,285587,287759,289501,291408,292808,294826,296167,296570,296981,297304,298594,300081,301722,302779,304799,307275,309709,310882,313082,316052,318953,320315,319837,319980,321893,324069,324884,324340,324411,326261,327343,328051,327692,328489,330900,332951,335261,337218,340439,343333,344727,344166,343864,344592,346961,349759,352495,355784,358662,362509,366627,372459,380150,389791,400548
231,Saint Lucie County,FL,Port St. Lucie,149546,149414,149205,148848,148606,148491,148550,148606,148645,148660,148842,149120,148984,148799,148771,149300,149711,150072,150485,150686,150876,150867,150967,151037,151956,152934,153863,153880,153965,153973,153596,153812,154250,155252,155623,155848,155675,155627,155804,156465,157106,157683,158339,158728,159081,159330,160126,161105,162053,162944,163196,163370,163519,164232,165129,166094,166720,167257,167518,168079,168848,169776,170937,171993,173122,174153,175298,176360,177339,178658,180125,181855,183334,184966,186788,189036,191409,193570,195449,197434,199932,202823,206277,209348,212087,214583,217382,220200,222788,225272,228017,231337,235780,239506,242591,245252,249472,253865,257709,261058,264988,270148,274900,280457,284336,289009,291529,295594,299755,305737,312199,318751,325652,331755,340283,346410,353434,357719,367614,375719,382768,385805,389336,393242,396493,398248,397922,397296,396416,397210,396003,393648,390121,385629,379949,374326,368047,362526,355759,350640,345339,338665,330356,321100,311186,303427,296252,289800,282232,274735,267578,258883,249477,240897,232753,226737,221566,216755,211420,205718,201125,196963,193170,190569,188423,187071,185592,184187,183374,182687,182721,182492,182686,182456,182275,181754,181265,180658,180566,180011,178993,177474,176160,175195,174404,173934,173325,172878,172717,172383,171918,171780,171752,172488,172987,173714,173511,172965,172916,173107,173525,174022,175148,176108,177468,178450,179379,180333,182063,184842,187461,190156,192621,195064,196944,199010,201119,203077,205484,207385,208832,209505,210799,212131,213404,214709,216470,218334,219517,220626,221631,223566,226699,229821,232270,234285,236743,239549,241626,243727,246011,249564,252686,255258,256624,257848,259599,261436,263168,264354,266204,267933,270376,271348,272767,273811,275274,277250,278831,280832,282460,284557,286518,287887,289086,290600,292025,293145,294443,295985,297516,298558,299589,300539,301490,303055,303460,304206,304332,305858,306639,306843,307064,307597,308656,309768,310748,311942,313836,314643,315347,315199,316150,317675,319050,320911,322777,325385,328692,332323,336738,342626,349782,357922,366562,376115,387125
232,Leon County,FL,Tallahassee,172385,172777,173104,173686,173981,174299,174632,175064,175461,175917,176472,177116,177767,178284,178746,179180,180071,180849,181730,182537,183380,184069,184628,185055,185641,186093,186590,187026,187390,187866,188190,188403,188618,188884,189022,189135,188953,189102,189171,189774,190344,191015,191451,191888,192347,192927,193788,194756,195816,196706,197677,197749,197786,197646,198272,198964,199705,200500,201185,201792,202347,203043,203780,204980,206143,207304,208174,208879,209678,210308,211187,212197,213347,214520,215630,216615,217813,219199,220573,221933,223212,224734,226244,227919,229909,232162,234192,236150,238035,240127,242139,244407,246885,250015,252481,255031,256963,258797,261147,264040,266810,269187,271873,275328,278553,280699,283615,287164,291638,295379,298387,301343,304873,309283,313737,317887,322440,327343,332732,336155,339289,342877,347976,352164,354924,356774,359012,361124,362722,363343,362959,362850,362660,362374,361144,360714,362483,363694,363226,360918,358538,356898,354246,351933,348217,345220,342341,340012,335684,331317,327528,324584,321522,317776,315378,313272,311430,308527,304829,301280,297872,295491,293048,291450,290044,289758,289211,288733,288309,288203,287841,286981,286684,285947,284662,282526,280140,278169,275623,272974,269880,267221,264826,262385,259708,257685,256240,255290,254458,251672,249416,247247,247283,247495,247905,247777,247492,246973,246952,247080,247372,249461,251219,252651,252474,251954,253010,254797,257368,258380,259149,259453,260047,259915,260295,260575,261641,262787,263459,263659,263274,263651,263941,264527,265060,265640,266230,267407,268543,269189,268912,268176,267966,268421,269166,270035,270600,271274,271762,272322,272191,272713,272787,274517,276293,278422,280347,281544,282606,283480,284803,285954,287721,288994,291490,292883,294007,294406,294836,296027,297669,299605,300629,301785,302719,304503,305876,307089,308152,309109,310546,311952,312981,313673,314651,315648,316390,316910,316472,316886,317181,318511,318784,319097,319066,319722,319416,319441,320603,323134,326235,328560,329024,329295,329884,332124,334895,337338,340948,344712,348186,351014,354449,358720,365224,372060,379766
241,Osceola County,FL,Orlando-Kissimmee-Sanford,188615,187677,187209,186351,186004,185749,185674,185565,185600,185522,185713,186003,186451,187234,187944,188591,188912,189236,189712,190252,190711,191227,191869,192668,193470,194386,195265,195930,196338,196847,196924,197414,198062,199276,199796,199999,199995,200389,200803,201492,202364,203383,204654,205538,206322,206910,207957,209189,210479,211515,212821,214068,214737,215099,215365,216271,217297,218279,219174,220135,221225,222499,223275,224198,225246,226676,228121,229216,230266,231206,232282,233235,234184,234995,236049,236916,237815,238475,239044,239779,240581,241647,242683,243990,245364,246874,248301,249496,250554,251381,252320,253315,254740,256372,257857,259527,261921,264914,267754,270290,273656,278058,283988,289187,294902,300491,306541,312192,316745,321633,328186,336653,345985,354789,362623,372308,380793,390229,399201,408154,417198,425879,433993,440586,444599,447957,449763,450864,451211,450732,450097,448666,446153,441827,437356,435033,433508,432007,428961,424182,419441,411925,405856,400522,396965,392451,384430,374574,362802,351410,341127,331504,322450,314433,305518,295951,284622,273335,263719,254449,247617,240842,235027,229509,224178,220602,216451,213296,211423,211730,212537,212353,210757,209117,208150,207459,206233,202831,200504,197898,196468,193631,191075,188915,188266,187977,186779,185172,184068,184619,185769,186975,187140,187840,188589,190640,192180,193442,194852,196707,199143,201083,202112,203990,206081,208874,211020,213142,215536,219221,223477,228292,232129,235924,239874,242562,244847,246232,248787,251052,252821,253208,252973,252014,251842,252537,253852,255469,256701,258004,258742,259387,260426,261696,263133,264462,265981,266889,267011,267744,269281,271915,273913,274839,274654,275049,276383,278195,279003,279772,281167,281945,283089,283191,283631,284812,287578,289872,291044,291431,293060,294922,296966,299138,300376,300396,301283,303016,304483,305777,307298,310868,313726,316370,316988,318083,318230,322222,324916,327643,328216,328881,329361,328683,328707,328521,329529,330178,332130,332117,333352,334509,336957,337745,337662,337512,337577,339224,341227,343731,346484,349743,353073,356886,361489,368216,376636
